City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,67.59,76,91,16.87,PN,1690197234
1,puerto ayora,-0.7393,-90.3518,76.1,85,51,7.74,EC,1690197274
2,vorgashor,67.5833,63.95,71.91,50,46,5.53,RU,1690197274
3,kodiak,57.79,-152.4072,47.71,93,0,4.61,US,1690197274
4,port-aux-francais,-49.35,70.2167,41.72,91,100,32.08,TF,1690197234
5,kapuskasing,49.4169,-82.4331,50.09,93,20,2.3,CA,1690197274
6,invercargill,-46.4,168.35,47.23,91,97,5.91,NZ,1690197274
7,ushuaia,-54.8,-68.3,26.26,80,0,3.44,AR,1690197242
8,iskateley,67.6803,53.1512,68.45,63,96,12.82,RU,1690197274
9,hermanus,-34.4187,19.2345,57.79,55,8,7.76,ZA,1690197275
10,jamestown,42.097,-79.2353,65.79,99,40,5.75,US,1690197220
11,enewetak,11.3474,162.3373,83.52,75,94,16.04,MH,1690197275
12,acapulco de juarez,16.8634,-99.8901,78.62,78,40,4.61,MX,1690197275
13,bethel,41.3712,-73.414,70.92,85,0,0.0,US,1690197275
14,ribeira grande,38.5167,-28.7,75.78,83,75,3.44,PT,1690197275
15,luza,60.6308,47.2512,61.61,91,99,7.49,RU,1690197275
16,kendari,-3.945,122.4989,75.22,86,49,5.97,ID,1690197275
17,erseke,40.3378,20.6789,89.6,27,0,7.4,AL,1690197275
18,alofi,-19.0595,-169.9187,73.29,73,40,6.91,NU,1690197276
19,grytviken,-54.2811,-36.5092,21.04,76,48,11.72,GS,1690197276
20,georgetown,5.4112,100.3354,89.55,66,20,6.91,MY,1690197276
21,snyder,32.7179,-100.9176,79.32,43,0,4.61,US,1690197276
22,saipan,15.1355,145.701,81.3,100,20,5.75,MP,1690197150
23,suva,-18.1416,178.4415,72.88,88,75,0.0,FJ,1690197276
24,rizokarpaso,35.6,34.375,86.72,63,0,8.14,CY,1690197276
25,kiunga,-6.1219,141.2906,72.0,97,99,1.92,PG,1690197278
26,bejar,40.3864,-5.7634,78.58,34,70,8.12,ES,1690197278
27,codrington,-38.2667,141.9667,52.56,82,100,6.6,AU,1690197278
28,east london,-33.0153,27.9116,63.54,45,0,17.27,ZA,1690197278
29,yaren,-0.5472,166.916,83.21,74,4,7.27,NR,1690197278
30,hawaiian paradise park,19.5933,-154.9731,74.03,96,100,1.01,US,1690197078
31,tiksi,71.6872,128.8694,46.98,64,10,0.45,RU,1690197278
32,margaret river,-33.95,115.0667,60.87,67,39,16.87,AU,1690197278
33,yellowknife,62.456,-114.3525,60.57,77,75,5.75,CA,1690197278
34,salalah,17.0151,54.0924,78.89,94,100,8.05,OM,1690197279
35,mount gambier,-37.8333,140.7667,52.07,77,100,3.13,AU,1690197279
36,dynow,49.8151,22.2339,85.82,50,50,14.85,PL,1690197279
37,luba,3.4568,8.5547,76.89,94,100,10.29,GQ,1690197279
38,peniche,39.3558,-9.3811,73.29,73,64,13.27,PT,1690197279
39,rikaze,29.25,88.8833,58.93,68,99,7.25,CN,1690197279
40,ilulissat,69.2167,-51.1,44.62,93,75,3.44,GL,1690197279
41,kiuruvesi,63.65,26.6167,55.92,95,100,0.87,FI,1690197279
42,bredasdorp,-34.5322,20.0403,57.24,51,5,8.68,ZA,1690197279
43,menongue,-14.6585,17.691,84.02,10,9,8.05,AO,1690197279
44,arraial do cabo,-22.9661,-42.0278,71.46,83,0,11.5,BR,1690197280
45,general villegas,-35.0328,-63.0125,40.78,62,100,8.9,AR,1690197193
46,puerto natales,-51.7236,-72.4875,19.67,95,92,2.24,CL,1690197280
47,remire-montjoly,4.9167,-52.2667,77.04,94,0,0.0,GF,1690197280
48,vilyuchinsk,52.9306,158.4028,61.07,85,9,10.25,RU,1690197280
49,great falls,47.5002,-111.3008,73.42,46,0,6.91,US,1690197043
